venue,Chennai Super Kings,Deccan Chargers,Delhi Capitals,Delhi Daredevils,Gujarat Lions,Gujarat Titans,Kings XI Punjab,Kochi Tuskers Kerala,Kolkata Knight Riders,Lucknow Super Giants,Mumbai Indians,Pune Warriors,Punjab Kings,Rajasthan Royals,Rising Pune Supergiant,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bengaluru,Sunrisers Hyderabad
Arun Jaitley Stadium,1.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
"Arun Jaitley Stadium, Delhi",2.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
Barabati Stadium,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Barsapara Cricket Stadium, Guwahati",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Brabourne Stadium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0
"Brabourne Stadium, Mumbai",0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0
Buffalo Park,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
De Beers Diamond Oval,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dr DY Patil Sports Academy,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
"Dr DY Patil Sports Academy, Mumbai",3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dubai International Cricket Stadium,9.0,0.0,6.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,8.0,0.0,7.0
Eden Gardens,5.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,45.0,0.0,10.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,2.0
"Eden Gardens, Kolkata",1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0
Feroz Shah Kotla,5.0,2.0,0.0,23.0,1.0,0.0,4.0,1.0,5.0,0.0,3.0,1.0,0.0,4.0,0.0,1.0,5.0,0.0,4.0
Green Park,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Himachal Pradesh Cricket Association Stadium,1.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Holkar Cricket Stadium,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
JSCA International Stadium Complex,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Kingsmead,1.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0
M Chinnaswamy Stadium,4.0,1.0,0.0,3.0,1.0,0.0,5.0,0.0,6.0,0.0,8.0,0.0,0.0,3.0,1.0,0.0,29.0,0.0,2.0
"M Chinnaswamy Stadium, Bengaluru",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0
M.Chinnaswamy Stadium,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0
MA Chidambaram Stadium,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MA Chidambaram Stadium, Chepauk",33.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
"MA Chidambaram Stadium, Chepauk, Chennai",10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Maharashtra Cricket Association Stadium,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,1.0
"Maharashtra Cricket Association Stadium, Pune",1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
"Narendra Modi Stadium, Ahmedabad",1.0,0.0,4.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0
Nehru Stadium,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
New Wanderers Stadium,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Newlands,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
OUTsurance Oval,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Punjab Cricket Association IS Bindra Stadium,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Punjab Cricket Association IS Bindra Stadium, Mohali",0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Punjab Cricket Association Stadium, Mohali",3.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,2.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0
Rajiv Gandhi International Stadium,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
"Rajiv Gandhi International Stadium, Uppal",2.0,3.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,5.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,20.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0
"Sardar Patel Stadium, Motera",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0
Saurashtra Cricket Association Stadium,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Sawai Mansingh Stadium,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,32.0,0.0,0.0,3.0,0.0,1.0
"Sawai Mansingh Stadium, Jaipur",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0
Shaheed Veer Narayan Singh International Stadium,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Sharjah Cricket Stadium,3.0,0.0,4.0,1.0,0.0,0.0,4.0,0.0,5.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,2.0
Sheikh Zayed Stadium,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,2.0
St George's Park,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Subrata Roy Sahara Stadium,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
SuperSport Park,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
"Vidarbha Cricket Association Stadium, Jamtha",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Wankhede Stadium,7.0,1.0,1.0,2.0,1.0,0.0,5.0,1.0,1.0,0.0,42.0,1.0,0.0,4.0,2.0,1.0,3.0,0.0,1.0
"Wankhede Stadium, Mumbai",6.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,3.0,10.0,0.0,4.0,6.0,0.0,0.0,5.0,0.0,1.0
"Zayed Cricket Stadium, Abu Dhabi",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
