batter,batsman_runs
V Kohli,8014
S Dhawan,6769
RG Sharma,6630
DA Warner,6567
SK Raina,5536
MS Dhoni,5243
AB de Villiers,5181
CH Gayle,4997
RV Uthappa,4954
KD Karthik,4843
KL Rahul,4689
AM Rahane,4642
F du Plessis,4571
SV Samson,4419
AT Rayudu,4348
G Gambhir,4217
SR Watson,3880
MK Pandey,3859
SA Yadav,3594
JC Buttler,3583
KA Pollard,3437
RR Pant,3297
YK Pathan,3222
Shubman Gill,3216
Q de Kock,3160
SS Iyer,3131
RA Jadeja,2959
WP Saha,2934
DA Miller,2924
BB McCullum,2882
PA Patel,2848
GJ Maxwell,2772
Yuvraj Singh,2754
V Sehwag,2728
MA Agarwal,2669
Ishan Kishan,2644
N Rana,2636
M Vijay,2619
HH Pandya,2534
SPD Smith,2495
SE Marsh,2489
AD Russell,2488
JH Kallis,2427
DR Smith,2385
RD Gaikwad,2380
SR Tendulkar,2334
RA Tripathi,2236
R Dravid,2174
KS Williamson,2132
AJ Finch,2092
AC Gilchrist,2069
JP Duminy,2029
MEK Hussey,1977
PP Shaw,1892
MP Stoinis,1866
DPMD Jayawardene,1808
N Pooran,1769
Mandeep Singh,1706
MK Tiwary,1695
KC Sangakkara,1687
AR Patel,1653
KH Pandya,1647
YBK Jaiswal,1607
JM Bairstow,1589
DJ Bravo,1560
D Padikkal,1559
NV Ojha,1554
SP Narine,1534
S Dube,1502
KK Nair,1496
SS Tiwary,1494
DJ Hooda,1466
S Badrinath,1441
EJG Morgan,1406
BJ Hodge,1400
Abhishek Sharma,1377
SC Ganguly,1349
CA Lynn,1329
VR Iyer,1326
DJ Hussey,1322
SO Hetmyer,1243
KM Jadhav,1208
R Parag,1173
MM Ali,1162
Tilak Varma,1156
TM Dilshan,1153
IK Pathan,1150
V Shankar,1115
ML Hayden,1107
M Vohra,1083
LMP Simmons,1079
B Sai Sudharsan,1034
LRPL Taylor,1017
R Tewatia,1013
KP Pietersen,1001
MC Henriques,1000
AK Markram,995
H Klaasen,993
Y Venugopal Rao,985
JA Morkel,975
A Symonds,974
CL White,971
LS Livingstone,939
BA Stokes,935
DP Conway,924
RK Singh,893
HH Gibbs,886
SM Curran,883
STR Binny,880
Harbhajan Singh,833
R Ashwin,800
RM Patidar,799
MS Bisla,798
Shakib Al Hasan,795
TM Head,772
ST Jayasuriya,768
P Simran Singh,756
GC Smith,739
JM Sharma,730
AD Mathews,724
C Green,707
TL Suman,676
AM Nayar,672
MR Marsh,665
GJ Bailey,663
TH David,659
E Lewis,654
PD Salt,653
A Badoni,634
PP Chawla,624
CH Morris,618
JJ Roy,614
JD Ryder,604
SN Khan,585
Abdul Samad,579
HM Amla,577
M Shahrukh Khan,553
Rashid Khan,545
CJ Anderson,538
Shahbaz Ahmed,536
RS Bopara,531
MK Lomror,527
JP Faulkner,527
PJ Cummins,515
M Manhas,514
Gurkeerat Singh,511
OA Shah,506
PC Valthaty,505
SW Billings,503
RR Rossouw,473
DT Christian,460
NLTC Perera,424
SA Asnodkar,423
Shashank Singh,423
JR Hopes,417
J Botha,409
LR Shukla,405
T Stubbs,405
AL Menaria,401
MV Boucher,394
CA Pujara,390
Azhar Mahmood,388
A Mishra,381
KR Mayers,379
Washington Sundar,378
DB Ravi Teja,375
S Sohal,368
P Negi,365
Abishek Porel,360
R Powell,360
KV Sharma,351
DJ Mitchell,351
N Wadhera,350
Dhruv Jurel,347
R Bhatia,342
P Kumar,340
AP Tare,339
J Fraser-McGurk,330
JEC Franklin,327
RN ten Doeschate,326
Anuj Rawat,318
R Vinay Kumar,310
SN Thakur,307
B Kumar,306
Lalit Yadav,305
DB Das,304
C de Grandhomme,303
Nithish Kumar Reddy,303
LA Pomersbach,302
UBT Chand,300
DJG Sammy,295
SP Goswami,293
Rahmanullah Gurbaz,289
Y Nagar,285
GH Vihari,284
VVS Laxman,282
A Ashish Reddy,280
B Chipli,280
MJ Lumb,278
PBB Rajapaksa,277
PK Garg,273
MJ Guptill,271
R Sathish,270
M Kaif,259
JO Holder,259
HV Patel,249
Atharva Taide,247
K Gowtham,247
SM Katich,241
BCJ Cutting,238
MD Mishra,237
Harpreet Brar,233
A Manohar,231
WG Jacks,230
D Brevis,230
R Ravindra,222
Mohammad Nabi,221
K Goel,218
AA Jhunjhunwala,217
R Dhawan,210
UT Yadav,208
K Rabada,206
CA Ingram,205
PD Collingwood,203
KS Bharat,199
JC Archer,199
SK Warne,198
JD Unadkat,197
SP Fleming,196
AS Raut,194
BJ Rohrer,193
Salman Butt,193
YV Takawale,192
HC Brook,190
Ashutosh Sharma,189
Bipul Sharma,187
Kuldeep Yadav,183
FY Fazal,183
SD Hope,183
MS Wade,183
Sikandar Raza,182
AC Voges,181
CR Brathwaite,181
S Gopal,180
AB Agarkar,179
MF Maharoof,177
C Munro,177
DH Yagnik,170
Ramandeep Singh,170
CM Gautam,169
MG Johnson,167
DW Steyn,167
MN van Wyk,167
PA Reddy,164
A Raghuvanshi,163
N Jagadeesan,162
MN Samuels,161
R McLaren,159
RE van der Merwe,159
AD Hales,148
D Wiese,148
SM Pollock,147
S Vidyut,145
Sachin Baby,144
N Saini,140
Naman Dhir,140
Anmolpreet Singh,139
S Anirudha,136
SB Styris,131
W Jaffer,130
RD Chahar,129
Kamran Akmal,128
TK Curran,127
P Dogra,127
UT Khawaja,127
SS Prabhudessai,126
M Morkel,126
MC Juneja,125
BB Samantray,125
B Lee,124
MM Sharma,124
Harpreet Singh,123
AB McDonald,123
DL Vettori,121
NK Patel,121
AC Blizzard,120
TG Southee,120
MW Short,117
RJ Harris,117
Misbah-ul-Haq,117
Z Khan,117
KK Cooper,116
R Shepherd,115
Aman Hakim Khan,115
DJM Short,115
M Kartik,113
DJ Harris,111
Mohammed Siraj,109
JDP Oram,106
LJ Wright,106
SE Rutherford,106
MA Starc,105
DS Kulkarni,104
RJ Quiney,103
MS Gony,99
SD Chitnis,99
MJ Clarke,98
CJ Ferguson,98
PN Mankad,97
Arshad Khan,96
JDS Neesham,92
PR Shah,92
DJ Jacobs,92
RT Ponting,91
S Rana,91
AJ Tye,91
AD Nath,90
Iqbal Abdulla,88
SL Malinga,88
AP Majumdar,87
Ankit Sharma,87
MJ McClenaghan,85
TA Boult,83
RE Levi,83
NM Coulter-Nile,82
Shahid Afridi,81
WPUJC Vaas,81
CJ Jordan,81
LA Carseldine,81
DL Chahar,80
RV Patel,80
AD Mascarenhas,79
CR Woakes,78
JR Philippe,78
IR Jaggi,76
B Akhil,76
TR Birt,75
Mohammed Shami,74
RR Sarwan,73
M Klinger,73
PWH de Silva,72
MJ Santner,70
J Suchith,70
Vivrant Sharma,69
AA Bilakhia,69
JJ Bumrah,68
LH Ferguson,68
RR Powar,67
M Jansen,66
R Sharma,66
HR Shokeen,66
KA Jamieson,65
GD Phillips,65
WD Parnell,65
Mohammad Hafeez,64
Anirudh Singh,63
A Flintoff,62
SP Jackson,61
S Aravind,59
MG Bracewell,58
I Sharma,57
Vishnu Vinod,56
WA Mota,56
M Rawat,55
Sandeep Sharma,54
A Chopra,53
DJ Willey,53
Shoaib Malik,52
RP Singh,52
Sameer Rizvi,51
Swapnil Singh,51
R Rampaul,51
KB Arun Karthik,51
OF Smith,51
Shivam Mavi,51
VR Aaron,50
RV Gomez,50
AS Yadav,49
SB Bangar,49
A Nortje,49
AG Paunikar,49
T Kohler-Cadmore,48
M Markande,48
Yashpal Singh,47
DR Sams,44
D Pretorius,44
Sunny Singh,43
PVD Chameera,43
SK Trivedi,42
AB Barath,42
Azmatullah Omarzai,42
Avesh Khan,41
A Nehra,41
BR Dunk,40
J Yadav,40
Rasikh Salam,40
LPC Silva,40
DJ Thornely,39
Umar Gul,39
MM Patel,39
AUK Pathan,39
S Nadeem,39
S Narwal,37
YS Chahal,37
KW Richardson,36
AN Ahmed,36
Anureet Singh,36
Joginder Sharma,36
L Balaji,36
Sohail Tanvir,36
M Ashwin,35
B Sumanth,35
A Kumble,35
L Ronchi,34
S Sreesanth,34
AP Dole,34
A Mithun,34
Imran Tahir,33
Navdeep Saini,33
SB Dubey,33
D Salunkhe,33
Ravi Bishnoi,32
Basil Thampi,32
RJ Peterson,32
AT Carey,32
S Sriram,31
T Taibu,31
NS Naik,31
VH Zol,29
J Syed Mohammad,29
Arshdeep Singh,29
SB Jakati,28
AS Joseph,27
JM Kemp,26
AS Rajpoot,26
AS Roy,26
DJ Malan,26
MD Shanaka,26
NL McCullum,26
TL Seifert,26
PJ Sangwan,26
AB Dinda,26
Mohsin Khan,25
CV Varun,25
S Chanderpaul,25
A Choudhary,25
Sanvir Singh,25
Tanush Kotian,24
MA Khote,24
KC Cariappa,24
ER Dwivedi,24
AJ Turner,24
BMAJ Mendis,23
J Arunkumar,23
Umran Malik,23
AF Milne,23
SW Tait,23
P Dubey,23
KL Nagarkoti,22
Yudhvir Singh,22
SA Abbott,22
GB Hogg,22
AU Rashid,22
HE van der Dussen,22
B Indrajith,21
DE Bollinger,21
TU Deshpande,21
NJ Maddinson,20
M Muralitharan,20
C Sakariya,20
AC Thomas,20
RR Raje,20
S Kaul,20
Akash Deep,19
JR Hazlewood,19
P Ray Barman,19
R Shukla,19
Y Gnaneswara Rao,19
P Sahu,19
R Bishnoi,19
A Mukund,19
Gulbadin Naib,19
DR Martyn,19
NT Ellis,19
JJ van der Wath,18
Naveen-ul-Haq,18
Sumit Kumar,18
Saurav Chauhan,18
T Banton,18
BJ Haddin,18
KMA Paul,18
DS Lehmann,18
Harmeet Singh,18
PV Tambe,18
JA Richardson,17
Parvez Rasool,17
PP Ojha,16
YV Dhull,16
AJ Hosein,16
KS Sharma,16
CK Kapugedera,16
JL Pattinson,15
C Madan,15
GR Napier,15
I Udana,15
SD Lad,15
Virat Singh,15
A Zampa,15
VY Mahesh,15
G Coetzee,14
Vijaykumar Vyshak,14
FA Allen,14
MDKJ Perera,14
F Behardien,14
Kartik Tyagi,13
DT Patil,13
DR Shorey,13
S Badree,13
Arjun Tendulkar,13
Noor Ahmad,13
Mustafizur Rahman,13
R Sai Kishore,13
KJ Abbott,13
T Thushara,12
AA Chavan,12
Mujeeb Ur Rahman,12
DG Nalkande,12
AR Bawne,12
K Upadhyay,12
MA Wood,12
Karanveer Singh,12
DAJ Bracewell,12
T Henderson,11
T Kohli,11
RA Bawa,11
M Ntini,11
DNT Zoysa,11
RK Bhui,10
TD Paine,10
D du Preez,10
AG Murtaza,10
Mukesh Kumar,10
SMSM Senanayake,10
X Thalaivan Sargunam,10
J Theron,10
KAJ Roach,10
JE Root,10
BB Sran,10
SM Harwood,9
M Prasidh Krishna,9
VG Arora,9
AA Noffke,9
L Wood,9
K Kartikeya,9
AA Kulkarni,9
D Ferreira,8
P Chopra,8
OC McCoy,8
CK Langeveldt,8
CJ McKay,8
TS Mills,8
TM Srivastava,8
JPR Scantlebury-Searles,8
Jaskaran Singh,8
I Malhotra,7
V Viyaskanth,7
VS Malik,7
IS Sodhi,7
M Theekshana,7
Simarjeet Singh,7
AN Ghosh,7
Pankaj Singh,7
Ankit Soni,7
UA Birla,7
PSP Handscomb,6
Mukesh Choudhary,6
DM Bravo,6
SH Johnson,6
SS Shaikh,6
SB Joshi,6
JP Behrendorff,6
BA Bhatt,6
KMDN Kulasekara,5
B Laughlin,5
B Stanlake,5
Shivam Sharma,5
P Awana,5
SJ Srivastava,5
Arshad Khan (2),5
Akash Madhwal,4
VRV Singh,4
FH Edwards,4
CRD Fernando,4
Liton Das,4
A Tomar,4
A Uniyal,4
A Dananjaya,4
GD McGrath,4
A Chandila,4
DP Nannes,4
RS Sodhi,4
T Natarajan,3
Younis Khan,3
RJW Topley,3
Fazalhaq Farooqi,3
S Tyagi,3
Mohammad Asif,3
GC Viljoen,3
R Ninan,3
Kumar Kushagra,3
BAW Mendis,3
Kamran Khan,3
D Kalyankrishna,3
JE Taylor,3
Mohammad Ashraful,2
SB Wagh,2
Shivam Singh,2
VS Yeligati,2
GHS Garton,2
RG More,2
RJ Gleeson,2
H Das,2
T Shamsi,2
Shoaib Akhtar,2
RS Gavaskar,2
BR Sharath,2
Mashrafe Mortaza,2
KP Appanna,2
Harshit Rana,2
A Kamboj,2
S Randiv,2
A Singh,2
Mohit Rathee,1
HF Gurney,1
NJ Rimmington,1
MJ Suthar,1
Shoaib Ahmed,1
SE Bond,1
P Parameswaran,1
KA Maharaj,1
KK Ahmed,1
Abdul Basith,1
BE Hendricks,1
SZ Mulani,1
DP Vijaykumar,1
DJ Muthuswami,1
LB Williams,1
M de Lange,1
LE Plunkett,1
PM Sarvesh Kumar,1
K Yadav,0
Y Prithvi Raj,0
Yash Dayal,0
YA Abdulla,0
KR Sen,0
L Ablish,0
Sunny Gupta,0
JL Denly,0
IC Pandey,0
Mayank Dagar,0
ND Doshi,0
V Pratap Singh,0
R Sanjay Yadav,0
RP Meredith,0
RR Bhatkal,0
C Nanda,0
U Kaul,0
S Kaushik,0
S Ladda,0
S Lamichhane,0
Abdur Razzak,0
SS Cottrell,0
KM Asif,0
