batter,century
A Ashish Reddy,0
A Badoni,0
A Chandila,0
A Chopra,0
A Choudhary,0
A Dananjaya,0
A Flintoff,0
A Kamboj,0
A Kumble,0
A Manohar,0
A Mishra,0
A Mithun,0
A Mukund,0
A Nehra,0
A Nortje,0
A Raghuvanshi,0
A Singh,0
A Symonds,1
A Tomar,0
A Uniyal,0
A Zampa,0
AA Bilakhia,0
AA Chavan,0
AA Jhunjhunwala,0
AA Kulkarni,0
AA Noffke,0
AB Agarkar,0
AB Barath,0
AB Dinda,0
AB McDonald,0
AB de Villiers,3
AC Blizzard,0
AC Gilchrist,2
AC Thomas,0
AC Voges,0
AD Hales,0
AD Mascarenhas,0
AD Mathews,0
AD Nath,0
AD Russell,0
AF Milne,0
AG Murtaza,0
AG Paunikar,0
AJ Finch,0
AJ Hosein,0
AJ Turner,0
AJ Tye,0
AK Markram,0
AL Menaria,0
AM Nayar,0
AM Rahane,2
AN Ahmed,0
AN Ghosh,0
AP Dole,0
AP Majumdar,0
AP Tare,0
AR Bawne,0
AR Patel,0
AS Joseph,0
AS Rajpoot,0
AS Raut,0
AS Roy,0
AS Yadav,0
AT Carey,0
AT Rayudu,1
AU Rashid,0
AUK Pathan,0
Abdul Basith,0
Abdul Samad,0
Abdur Razzak,0
Abhishek Sharma,0
Abishek Porel,0
Akash Deep,0
Akash Madhwal,0
Aman Hakim Khan,0
Anirudh Singh,0
Ankit Sharma,0
Ankit Soni,0
Anmolpreet Singh,0
Anuj Rawat,0
Anureet Singh,0
Arjun Tendulkar,0
Arshad Khan,0
Arshad Khan (2),0
Arshdeep Singh,0
Ashutosh Sharma,0
Atharva Taide,0
Avesh Khan,0
Azhar Mahmood,0
Azmatullah Omarzai,0
B Akhil,0
B Chipli,0
B Indrajith,0
B Kumar,0
B Laughlin,0
B Lee,0
B Sai Sudharsan,1
B Stanlake,0
B Sumanth,0
BA Bhatt,0
BA Stokes,2
BAW Mendis,0
BB McCullum,2
BB Samantray,0
BB Sran,0
BCJ Cutting,0
BE Hendricks,0
BJ Haddin,0
BJ Hodge,0
BJ Rohrer,0
BMAJ Mendis,0
BR Dunk,0
BR Sharath,0
Basil Thampi,0
Bipul Sharma,0
C Green,1
C Madan,0
C Munro,0
C Nanda,0
C Sakariya,0
C de Grandhomme,0
CA Ingram,0
CA Lynn,0
CA Pujara,0
CH Gayle,6
CH Morris,0
CJ Anderson,0
CJ Ferguson,0
CJ Jordan,0
CJ McKay,0
CK Kapugedera,0
CK Langeveldt,0
CL White,0
CM Gautam,0
CR Brathwaite,0
CR Woakes,0
CRD Fernando,0
CV Varun,0
D Brevis,0
D Ferreira,0
D Kalyankrishna,0
D Padikkal,1
D Pretorius,0
D Salunkhe,0
D Wiese,0
D du Preez,0
DA Miller,1
DA Warner,4
DAJ Bracewell,0
DB Das,0
DB Ravi Teja,0
DE Bollinger,0
DG Nalkande,0
DH Yagnik,0
DJ Bravo,0
DJ Harris,0
DJ Hooda,0
DJ Hussey,0
DJ Jacobs,0
DJ Malan,0
DJ Mitchell,0
DJ Muthuswami,0
DJ Thornely,0
DJ Willey,0
DJG Sammy,0
DJM Short,0
DL Chahar,0
DL Vettori,0
DM Bravo,0
DNT Zoysa,0
DP Conway,0
DP Nannes,0
DP Vijaykumar,0
DPMD Jayawardene,1
DR Martyn,0
DR Sams,0
DR Shorey,0
DR Smith,0
DS Kulkarni,0
DS Lehmann,0
DT Christian,0
DT Patil,0
DW Steyn,0
Dhruv Jurel,0
E Lewis,0
EJG Morgan,0
ER Dwivedi,0
F Behardien,0
F du Plessis,0
FA Allen,0
FH Edwards,0
FY Fazal,0
Fazalhaq Farooqi,0
G Coetzee,0
G Gambhir,0
GB Hogg,0
GC Smith,0
GC Viljoen,0
GD McGrath,0
GD Phillips,0
GH Vihari,0
GHS Garton,0
GJ Bailey,0
GJ Maxwell,0
GR Napier,0
Gulbadin Naib,0
Gurkeerat Singh,0
H Das,0
H Klaasen,1
HC Brook,1
HE van der Dussen,0
HF Gurney,0
HH Gibbs,0
HH Pandya,0
HM Amla,2
HR Shokeen,0
HV Patel,0
Harbhajan Singh,0
Harmeet Singh,0
Harpreet Brar,0
Harpreet Singh,0
Harshit Rana,0
I Malhotra,0
I Sharma,0
I Udana,0
IC Pandey,0
IK Pathan,0
IR Jaggi,0
IS Sodhi,0
Imran Tahir,0
Iqbal Abdulla,0
Ishan Kishan,0
J Arunkumar,0
J Botha,0
J Fraser-McGurk,0
J Suchith,0
J Syed Mohammad,0
J Theron,0
J Yadav,0
JA Morkel,0
JA Richardson,0
JC Archer,0
JC Buttler,7
JD Ryder,0
JD Unadkat,0
JDP Oram,0
JDS Neesham,0
JE Root,0
JE Taylor,0
JEC Franklin,0
JH Kallis,0
JJ Bumrah,0
JJ Roy,0
JJ van der Wath,0
JL Denly,0
JL Pattinson,0
JM Bairstow,2
JM Kemp,0
JM Sharma,0
JO Holder,0
JP Behrendorff,0
JP Duminy,0
JP Faulkner,0
JPR Scantlebury-Searles,0
JR Hazlewood,0
JR Hopes,0
JR Philippe,0
Jaskaran Singh,0
Joginder Sharma,0
K Goel,0
K Gowtham,0
K Kartikeya,0
K Rabada,0
K Upadhyay,0
K Yadav,0
KA Jamieson,0
KA Maharaj,0
KA Pollard,0
KAJ Roach,0
KB Arun Karthik,0
KC Cariappa,0
KC Sangakkara,0
KD Karthik,0
KH Pandya,0
KJ Abbott,0
KK Ahmed,0
KK Cooper,0
KK Nair,0
KL Nagarkoti,0
KL Rahul,4
KM Asif,0
KM Jadhav,0
KMA Paul,0
KMDN Kulasekara,0
KP Appanna,0
KP Pietersen,1
KR Mayers,0
KR Sen,0
KS Bharat,0
KS Sharma,0
KS Williamson,0
KV Sharma,0
KW Richardson,0
Kamran Akmal,0
Kamran Khan,0
Karanveer Singh,0
Kartik Tyagi,0
Kuldeep Yadav,0
Kumar Kushagra,0
L Ablish,0
L Balaji,0
L Ronchi,0
L Wood,0
LA Carseldine,0
LA Pomersbach,0
LB Williams,0
LE Plunkett,0
LH Ferguson,0
LJ Wright,0
LMP Simmons,1
LPC Silva,0
LR Shukla,0
LRPL Taylor,0
LS Livingstone,0
Lalit Yadav,0
Liton Das,0
M Ashwin,0
M Jansen,0
M Kaif,0
M Kartik,0
M Klinger,0
M Manhas,0
M Markande,0
M Morkel,0
M Muralitharan,0
M Ntini,0
M Prasidh Krishna,0
M Rawat,0
M Shahrukh Khan,0
M Theekshana,0
M Vijay,2
M Vohra,0
M de Lange,0
MA Agarwal,1
MA Khote,0
MA Starc,0
MA Wood,0
MC Henriques,0
MC Juneja,0
MD Mishra,0
MD Shanaka,0
MDKJ Perera,0
MEK Hussey,1
MF Maharoof,0
MG Bracewell,0
MG Johnson,0
MJ Clarke,0
MJ Guptill,0
MJ Lumb,0
MJ McClenaghan,0
MJ Santner,0
MJ Suthar,0
MK Lomror,0
MK Pandey,1
MK Tiwary,0
ML Hayden,0
MM Ali,0
MM Patel,0
MM Sharma,0
MN Samuels,0
MN van Wyk,0
MP Stoinis,1
MR Marsh,0
MS Bisla,0
MS Dhoni,0
MS Gony,0
MS Wade,0
MV Boucher,0
MW Short,0
Mandeep Singh,0
Mashrafe Mortaza,0
Mayank Dagar,0
Misbah-ul-Haq,0
Mohammad Ashraful,0
Mohammad Asif,0
Mohammad Hafeez,0
Mohammad Nabi,0
Mohammed Shami,0
Mohammed Siraj,0
Mohit Rathee,0
Mohsin Khan,0
Mujeeb Ur Rahman,0
Mukesh Choudhary,0
Mukesh Kumar,0
Mustafizur Rahman,0
N Jagadeesan,0
N Pooran,0
N Rana,0
N Saini,0
N Wadhera,0
ND Doshi,0
NJ Maddinson,0
NJ Rimmington,0
NK Patel,0
NL McCullum,0
NLTC Perera,0
NM Coulter-Nile,0
NS Naik,0
NT Ellis,0
NV Ojha,0
Naman Dhir,0
Navdeep Saini,0
Naveen-ul-Haq,0
Nithish Kumar Reddy,0
Noor Ahmad,0
OA Shah,0
OC McCoy,0
OF Smith,0
P Awana,0
P Chopra,0
P Dogra,0
P Dubey,0
P Kumar,0
P Negi,0
P Parameswaran,0
P Ray Barman,0
P Sahu,0
P Simran Singh,1
PA Patel,0
PA Reddy,0
PBB Rajapaksa,0
PC Valthaty,1
PD Collingwood,0
PD Salt,0
PJ Cummins,0
PJ Sangwan,0
PK Garg,0
PM Sarvesh Kumar,0
PN Mankad,0
PP Chawla,0
PP Ojha,0
PP Shaw,0
PR Shah,0
PSP Handscomb,0
PV Tambe,0
PVD Chameera,0
PWH de Silva,0
Pankaj Singh,0
Parvez Rasool,0
Q de Kock,2
R Ashwin,0
R Bhatia,0
R Bishnoi,0
R Dhawan,0
R Dravid,0
R McLaren,0
R Ninan,0
R Parag,0
R Powell,0
R Rampaul,0
R Ravindra,0
R Sai Kishore,0
R Sanjay Yadav,0
R Sathish,0
R Sharma,0
R Shepherd,0
R Shukla,0
R Tewatia,0
R Vinay Kumar,0
RA Bawa,0
RA Jadeja,0
RA Tripathi,0
RD Chahar,0
RD Gaikwad,2
RE Levi,0
RE van der Merwe,0
RG More,0
RG Sharma,2
RJ Gleeson,0
RJ Harris,0
RJ Peterson,0
RJ Quiney,0
RJW Topley,0
RK Bhui,0
RK Singh,0
RM Patidar,1
RN ten Doeschate,0
RP Meredith,0
RP Singh,0
RR Bhatkal,0
RR Pant,1
RR Powar,0
RR Raje,0
RR Rossouw,0
RR Sarwan,0
RS Bopara,0
RS Gavaskar,0
RS Sodhi,0
RT Ponting,0
RV Gomez,0
RV Patel,0
RV Uthappa,0
Rahmanullah Gurbaz,0
Ramandeep Singh,0
Rashid Khan,0
Rasikh Salam,0
Ravi Bishnoi,0
S Anirudha,0
S Aravind,0
S Badree,0
S Badrinath,0
S Chanderpaul,0
S Dhawan,2
S Dube,0
S Gopal,0
S Kaul,0
S Kaushik,0
S Ladda,0
S Lamichhane,0
S Nadeem,0
S Narwal,0
S Rana,0
S Randiv,0
S Sohal,0
S Sreesanth,0
S Sriram,0
S Tyagi,0
S Vidyut,0
SA Abbott,0
SA Asnodkar,0
SA Yadav,2
SB Bangar,0
SB Dubey,0
SB Jakati,0
SB Joshi,0
SB Styris,0
SB Wagh,0
SC Ganguly,0
SD Chitnis,0
SD Hope,0
SD Lad,0
SE Bond,0
SE Marsh,1
SE Rutherford,0
SH Johnson,0
SJ Srivastava,0
SK Raina,1
SK Trivedi,0
SK Warne,0
SL Malinga,0
SM Curran,0
SM Harwood,0
SM Katich,0
SM Pollock,0
SMSM Senanayake,0
SN Khan,0
SN Thakur,0
SO Hetmyer,0
SP Fleming,0
SP Goswami,0
SP Jackson,0
SP Narine,1
SPD Smith,1
SR Tendulkar,1
SR Watson,4
SS Cottrell,0
SS Iyer,0
SS Prabhudessai,0
SS Shaikh,0
SS Tiwary,0
ST Jayasuriya,1
STR Binny,0
SV Samson,3
SW Billings,0
SW Tait,0
SZ Mulani,0
Sachin Baby,0
Salman Butt,0
Sameer Rizvi,0
Sandeep Sharma,0
Sanvir Singh,0
Saurav Chauhan,0
Shahbaz Ahmed,0
Shahid Afridi,0
Shakib Al Hasan,0
Shashank Singh,0
Shivam Mavi,0
Shivam Sharma,0
Shivam Singh,0
Shoaib Ahmed,0
Shoaib Akhtar,0
Shoaib Malik,0
Shubman Gill,4
Sikandar Raza,0
Simarjeet Singh,0
Sohail Tanvir,0
Sumit Kumar,0
Sunny Gupta,0
Sunny Singh,0
Swapnil Singh,0
T Banton,0
T Henderson,0
T Kohler-Cadmore,0
T Kohli,0
T Natarajan,0
T Shamsi,0
T Stubbs,0
T Taibu,0
T Thushara,0
TA Boult,0
TD Paine,0
TG Southee,0
TH David,0
TK Curran,0
TL Seifert,0
TL Suman,0
TM Dilshan,0
TM Head,1
TM Srivastava,0
TR Birt,0
TS Mills,0
TU Deshpande,0
Tanush Kotian,0
Tilak Varma,0
U Kaul,0
UA Birla,0
UBT Chand,0
UT Khawaja,0
UT Yadav,0
Umar Gul,0
Umran Malik,0
V Kohli,8
V Pratap Singh,0
V Sehwag,2
V Shankar,0
V Viyaskanth,0
VG Arora,0
VH Zol,0
VR Aaron,0
VR Iyer,1
VRV Singh,0
VS Malik,0
VS Yeligati,0
VVS Laxman,0
VY Mahesh,0
Vijaykumar Vyshak,0
Virat Singh,0
Vishnu Vinod,0
Vivrant Sharma,0
W Jaffer,0
WA Mota,0
WD Parnell,0
WG Jacks,1
WP Saha,1
WPUJC Vaas,0
Washington Sundar,0
X Thalaivan Sargunam,0
Y Gnaneswara Rao,0
Y Nagar,0
Y Prithvi Raj,0
Y Venugopal Rao,0
YA Abdulla,0
YBK Jaiswal,2
YK Pathan,1
YS Chahal,0
YV Dhull,0
YV Takawale,0
Yash Dayal,0
Yashpal Singh,0
Younis Khan,0
Yudhvir Singh,0
Yuvraj Singh,0
Z Khan,0
