batter,half_century
A Ashish Reddy,0
A Badoni,4
A Chandila,0
A Chopra,0
A Choudhary,0
A Dananjaya,0
A Flintoff,0
A Kamboj,0
A Kumble,0
A Manohar,0
A Mishra,0
A Mithun,0
A Mukund,0
A Nehra,0
A Nortje,0
A Raghuvanshi,1
A Singh,0
A Symonds,5
A Tomar,0
A Uniyal,0
A Zampa,0
AA Bilakhia,0
AA Chavan,0
AA Jhunjhunwala,1
AA Kulkarni,0
AA Noffke,0
AB Agarkar,0
AB Barath,0
AB Dinda,0
AB McDonald,0
AB de Villiers,41
AC Blizzard,1
AC Gilchrist,11
AC Thomas,0
AC Voges,0
AD Hales,0
AD Mascarenhas,0
AD Mathews,1
AD Nath,0
AD Russell,11
AF Milne,0
AG Murtaza,0
AG Paunikar,0
AJ Finch,15
AJ Hosein,0
AJ Turner,0
AJ Tye,0
AK Markram,5
AL Menaria,0
AM Nayar,0
AM Rahane,30
AN Ahmed,0
AN Ghosh,0
AP Dole,0
AP Majumdar,0
AP Tare,1
AR Bawne,0
AR Patel,3
AS Joseph,0
AS Rajpoot,0
AS Raut,0
AS Roy,0
AS Yadav,0
AT Carey,0
AT Rayudu,22
AU Rashid,0
AUK Pathan,0
Abdul Basith,0
Abdul Samad,0
Abdur Razzak,0
Abhishek Sharma,7
Abishek Porel,2
Akash Deep,0
Akash Madhwal,0
Aman Hakim Khan,1
Anirudh Singh,0
Ankit Sharma,0
Ankit Soni,0
Anmolpreet Singh,0
Anuj Rawat,1
Anureet Singh,0
Arjun Tendulkar,0
Arshad Khan,1
Arshad Khan (2),0
Arshdeep Singh,0
Ashutosh Sharma,1
Atharva Taide,2
Avesh Khan,0
Azhar Mahmood,2
Azmatullah Omarzai,0
B Akhil,0
B Chipli,1
B Indrajith,0
B Kumar,0
B Laughlin,0
B Lee,0
B Sai Sudharsan,6
B Stanlake,0
B Sumanth,0
BA Bhatt,0
BA Stokes,2
BAW Mendis,0
BB McCullum,13
BB Samantray,1
BB Sran,0
BCJ Cutting,0
BE Hendricks,0
BJ Haddin,0
BJ Hodge,6
BJ Rohrer,1
BMAJ Mendis,0
BR Dunk,0
BR Sharath,0
Basil Thampi,0
Bipul Sharma,0
C Green,2
C Madan,0
C Munro,0
C Nanda,0
C Sakariya,0
C de Grandhomme,0
CA Ingram,0
CA Lynn,10
CA Pujara,1
CH Gayle,32
CH Morris,2
CJ Anderson,3
CJ Ferguson,0
CJ Jordan,0
CJ McKay,0
CK Kapugedera,0
CK Langeveldt,0
CL White,6
CM Gautam,0
CR Brathwaite,0
CR Woakes,0
CRD Fernando,0
CV Varun,0
D Brevis,0
D Ferreira,0
D Kalyankrishna,0
D Padikkal,9
D Pretorius,0
D Salunkhe,0
D Wiese,0
D du Preez,0
DA Miller,13
DA Warner,62
DAJ Bracewell,0
DB Das,0
DB Ravi Teja,1
DE Bollinger,0
DG Nalkande,0
DH Yagnik,0
DJ Bravo,5
DJ Harris,0
DJ Hooda,8
DJ Hussey,5
DJ Jacobs,0
DJ Malan,0
DJ Mitchell,2
DJ Muthuswami,0
DJ Thornely,0
DJ Willey,0
DJG Sammy,1
DJM Short,0
DL Chahar,0
DL Vettori,0
DM Bravo,0
DNT Zoysa,0
DP Conway,9
DP Nannes,0
DP Vijaykumar,0
DPMD Jayawardene,10
DR Martyn,0
DR Sams,0
DR Shorey,0
DR Smith,17
DS Kulkarni,0
DS Lehmann,0
DT Christian,0
DT Patil,0
DW Steyn,0
Dhruv Jurel,2
E Lewis,4
EJG Morgan,5
ER Dwivedi,0
F Behardien,0
F du Plessis,37
FA Allen,0
FH Edwards,0
FY Fazal,0
Fazalhaq Farooqi,0
G Coetzee,0
G Gambhir,36
GB Hogg,0
GC Smith,4
GC Viljoen,0
GD McGrath,0
GD Phillips,0
GH Vihari,0
GHS Garton,0
GJ Bailey,2
GJ Maxwell,18
GR Napier,0
Gulbadin Naib,0
Gurkeerat Singh,2
H Das,0
H Klaasen,6
HC Brook,0
HE van der Dussen,0
HF Gurney,0
HH Gibbs,6
HH Pandya,10
HM Amla,3
HR Shokeen,0
HV Patel,0
Harbhajan Singh,1
Harmeet Singh,0
Harpreet Brar,0
Harpreet Singh,0
Harshit Rana,0
I Malhotra,0
I Sharma,0
I Udana,0
IC Pandey,0
IK Pathan,1
IR Jaggi,0
IS Sodhi,0
Imran Tahir,0
Iqbal Abdulla,0
Ishan Kishan,16
J Arunkumar,0
J Botha,1
J Fraser-McGurk,4
J Suchith,0
J Syed Mohammad,0
J Theron,0
J Yadav,0
JA Morkel,3
JA Richardson,0
JC Archer,0
JC Buttler,19
JD Ryder,4
JD Unadkat,0
JDP Oram,0
JDS Neesham,0
JE Root,0
JE Taylor,0
JEC Franklin,1
JH Kallis,17
JJ Bumrah,0
JJ Roy,4
JJ van der Wath,0
JL Denly,0
JL Pattinson,0
JM Bairstow,9
JM Kemp,0
JM Sharma,0
JO Holder,0
JP Behrendorff,0
JP Duminy,14
JP Faulkner,0
JPR Scantlebury-Searles,0
JR Hazlewood,0
JR Hopes,4
JR Philippe,0
Jaskaran Singh,0
Joginder Sharma,0
K Goel,0
K Gowtham,0
K Kartikeya,0
K Rabada,0
K Upadhyay,0
K Yadav,0
KA Jamieson,0
KA Maharaj,0
KA Pollard,16
KAJ Roach,0
KB Arun Karthik,0
KC Cariappa,0
KC Sangakkara,10
KD Karthik,22
KH Pandya,1
KJ Abbott,0
KK Ahmed,0
KK Cooper,0
KK Nair,10
KL Nagarkoti,0
KL Rahul,37
KM Asif,0
KM Jadhav,4
KMA Paul,0
KMDN Kulasekara,0
KP Appanna,0
KP Pietersen,4
KR Mayers,4
KR Sen,0
KS Bharat,1
KS Sharma,0
KS Williamson,18
KV Sharma,0
KW Richardson,0
Kamran Akmal,1
Kamran Khan,0
Karanveer Singh,0
Kartik Tyagi,0
Kuldeep Yadav,0
Kumar Kushagra,0
L Ablish,0
L Balaji,0
L Ronchi,0
L Wood,0
LA Carseldine,0
LA Pomersbach,1
LB Williams,0
LE Plunkett,0
LH Ferguson,0
LJ Wright,0
LMP Simmons,11
LPC Silva,0
LR Shukla,0
LRPL Taylor,3
LS Livingstone,6
Lalit Yadav,0
Liton Das,0
M Ashwin,0
M Jansen,0
M Kaif,0
M Kartik,0
M Klinger,0
M Manhas,0
M Markande,0
M Morkel,0
M Muralitharan,0
M Ntini,0
M Prasidh Krishna,0
M Rawat,0
M Shahrukh Khan,1
M Theekshana,0
M Vijay,13
M Vohra,3
M de Lange,0
MA Agarwal,13
MA Khote,0
MA Starc,0
MA Wood,0
MC Henriques,5
MC Juneja,0
MD Mishra,0
MD Shanaka,0
MDKJ Perera,0
MEK Hussey,15
MF Maharoof,0
MG Bracewell,0
MG Johnson,0
MJ Clarke,0
MJ Guptill,1
MJ Lumb,1
MJ McClenaghan,0
MJ Santner,0
MJ Suthar,0
MK Lomror,1
MK Pandey,22
MK Tiwary,7
ML Hayden,8
MM Ali,6
MM Patel,0
MM Sharma,0
MN Samuels,0
MN van Wyk,1
MP Stoinis,9
MR Marsh,3
MS Bisla,4
MS Dhoni,24
MS Gony,0
MS Wade,0
MV Boucher,1
MW Short,0
Mandeep Singh,6
Mashrafe Mortaza,0
Mayank Dagar,0
Misbah-ul-Haq,0
Mohammad Ashraful,0
Mohammad Asif,0
Mohammad Hafeez,0
Mohammad Nabi,0
Mohammed Shami,0
Mohammed Siraj,0
Mohit Rathee,0
Mohsin Khan,0
Mujeeb Ur Rahman,0
Mukesh Choudhary,0
Mukesh Kumar,0
Mustafizur Rahman,0
N Jagadeesan,0
N Pooran,9
N Rana,18
N Saini,1
N Wadhera,2
ND Doshi,0
NJ Maddinson,0
NJ Rimmington,0
NK Patel,1
NL McCullum,0
NLTC Perera,0
NM Coulter-Nile,0
NS Naik,0
NT Ellis,0
NV Ojha,6
Naman Dhir,1
Navdeep Saini,0
Naveen-ul-Haq,0
Nithish Kumar Reddy,2
Noor Ahmad,0
OA Shah,4
OC McCoy,0
OF Smith,0
P Awana,0
P Chopra,0
P Dogra,0
P Dubey,0
P Kumar,0
P Negi,0
P Parameswaran,0
P Ray Barman,0
P Sahu,0
P Simran Singh,3
PA Patel,13
PA Reddy,0
PBB Rajapaksa,1
PC Valthaty,2
PD Collingwood,3
PD Salt,6
PJ Cummins,3
PJ Sangwan,0
PK Garg,1
PM Sarvesh Kumar,0
PN Mankad,1
PP Chawla,0
PP Ojha,0
PP Shaw,14
PR Shah,0
PSP Handscomb,0
PV Tambe,0
PVD Chameera,0
PWH de Silva,0
Pankaj Singh,0
Parvez Rasool,0
Q de Kock,23
R Ashwin,1
R Bhatia,0
R Bishnoi,0
R Dhawan,0
R Dravid,11
R McLaren,1
R Ninan,0
R Parag,6
R Powell,1
R Rampaul,0
R Ravindra,1
R Sai Kishore,0
R Sanjay Yadav,0
R Sathish,0
R Sharma,0
R Shepherd,0
R Shukla,0
R Tewatia,1
R Vinay Kumar,0
RA Bawa,0
RA Jadeja,3
RA Tripathi,12
RD Chahar,0
RD Gaikwad,18
RE Levi,1
RE van der Merwe,0
RG More,0
RG Sharma,43
RJ Gleeson,0
RJ Harris,0
RJ Peterson,0
RJ Quiney,1
RJW Topley,0
RK Bhui,0
RK Singh,4
RM Patidar,7
RN ten Doeschate,1
RP Meredith,0
RP Singh,0
RR Bhatkal,0
RR Pant,18
RR Powar,0
RR Raje,0
RR Rossouw,2
RR Sarwan,0
RS Bopara,3
RS Gavaskar,0
RS Sodhi,0
RT Ponting,0
RV Gomez,0
RV Patel,0
RV Uthappa,27
Rahmanullah Gurbaz,2
Ramandeep Singh,0
Rashid Khan,1
Rasikh Salam,0
Ravi Bishnoi,0
S Anirudha,1
S Aravind,0
S Badree,0
S Badrinath,11
S Chanderpaul,0
S Dhawan,51
S Dube,9
S Gopal,0
S Kaul,0
S Kaushik,0
S Ladda,0
S Lamichhane,0
S Nadeem,0
S Narwal,0
S Rana,0
S Randiv,0
S Sohal,2
S Sreesanth,0
S Sriram,0
S Tyagi,0
S Vidyut,1
SA Abbott,0
SA Asnodkar,2
SA Yadav,24
SB Bangar,0
SB Dubey,0
SB Jakati,0
SB Joshi,0
SB Styris,0
SB Wagh,0
SC Ganguly,7
SD Chitnis,0
SD Hope,0
SD Lad,0
SE Bond,0
SE Marsh,20
SE Rutherford,0
SH Johnson,0
SJ Srivastava,0
SK Raina,39
SK Trivedi,0
SK Warne,0
SL Malinga,0
SM Curran,5
SM Harwood,0
SM Katich,2
SM Pollock,0
SMSM Senanayake,0
SN Khan,1
SN Thakur,1
SO Hetmyer,4
SP Fleming,0
SP Goswami,1
SP Jackson,0
SP Narine,7
SPD Smith,11
SR Tendulkar,13
SR Watson,21
SS Cottrell,0
SS Iyer,21
SS Prabhudessai,0
SS Shaikh,0
SS Tiwary,8
ST Jayasuriya,4
STR Binny,0
SV Samson,25
SW Billings,3
SW Tait,0
SZ Mulani,0
Sachin Baby,0
Salman Butt,1
Sameer Rizvi,0
Sandeep Sharma,0
Sanvir Singh,0
Saurav Chauhan,0
Shahbaz Ahmed,1
Shahid Afridi,0
Shakib Al Hasan,2
Shashank Singh,2
Shivam Mavi,0
Shivam Sharma,0
Shivam Singh,0
Shoaib Ahmed,0
Shoaib Akhtar,0
Shoaib Malik,0
Shubman Gill,20
Sikandar Raza,1
Simarjeet Singh,0
Sohail Tanvir,0
Sumit Kumar,0
Sunny Gupta,0
Sunny Singh,0
Swapnil Singh,0
T Banton,0
T Henderson,0
T Kohler-Cadmore,0
T Kohli,0
T Natarajan,0
T Shamsi,0
T Stubbs,3
T Taibu,0
T Thushara,0
TA Boult,0
TD Paine,0
TG Southee,0
TH David,0
TK Curran,1
TL Seifert,0
TL Suman,2
TM Dilshan,9
TM Head,5
TM Srivastava,0
TR Birt,0
TS Mills,0
TU Deshpande,0
Tanush Kotian,0
Tilak Varma,6
U Kaul,0
UA Birla,0
UBT Chand,1
UT Khawaja,0
UT Yadav,0
Umar Gul,0
Umran Malik,0
V Kohli,56
V Pratap Singh,0
V Sehwag,16
V Shankar,6
V Viyaskanth,0
VG Arora,0
VH Zol,0
VR Aaron,0
VR Iyer,11
VRV Singh,0
VS Malik,0
VS Yeligati,0
VVS Laxman,1
VY Mahesh,0
Vijaykumar Vyshak,0
Virat Singh,0
Vishnu Vinod,0
Vivrant Sharma,1
W Jaffer,1
WA Mota,0
WD Parnell,0
WG Jacks,1
WP Saha,13
WPUJC Vaas,0
Washington Sundar,0
X Thalaivan Sargunam,0
Y Gnaneswara Rao,0
Y Nagar,0
Y Prithvi Raj,0
Y Venugopal Rao,3
YA Abdulla,0
YBK Jaiswal,9
YK Pathan,14
YS Chahal,0
YV Dhull,0
YV Takawale,0
Yash Dayal,0
Yashpal Singh,0
Younis Khan,0
Yudhvir Singh,0
Yuvraj Singh,13
Z Khan,0
