Index,venue,Chennai Super Kings,Deccan Chargers,Delhi Capitals,Delhi Daredevils,Gujarat Lions,Gujarat Titans,Kings XI Punjab,Kochi Tuskers Kerala,Kolkata Knight Riders,Lucknow Super Giants,Mumbai Indians,Pune Warriors,Punjab Kings,Rajasthan Royals,Rising Pune Supergiant,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bengaluru,Sunrisers Hyderabad
1,Arun Jaitley Stadium,1,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2
2,"Arun Jaitley Stadium, Delhi",2,0,6,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0,2
3,Barabati Stadium,0,3,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
4,"Barsapara Cricket Stadium, Guwahati",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
5,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,0,1,0,0,1,0,0,1,7,0,0,1,1,0,0,1,0,0
6,Brabourne Stadium,1,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1,0,1
7,"Brabourne Stadium, Mumbai",0,0,4,0,0,2,0,0,0,2,2,0,2,3,0,0,0,0,2
8,Buffalo Park,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,De Beers Diamond Oval,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Dr DY Patil Sports Academy,3,2,0,1,0,0,0,0,2,0,5,2,0,1,0,0,1,0,0
11,"Dr DY Patil Sports Academy, Mumbai",3,0,2,0,0,2,0,0,1,3,1,0,2,1,0,0,2,0,3
12,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,0,1,1,0,0,1,0,0,0,2,0,0,1,0,2,0,0,3
13,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,Dubai International Cricket Stadium,9,0,6,1,0,0,5,0,3,0,3,0,2,2,0,0,8,0,7
15,Eden Gardens,5,0,1,1,2,0,3,1,45,0,10,0,0,2,1,0,4,0,2
16,"Eden Gardens, Kolkata",1,0,0,0,0,2,0,0,7,1,0,0,1,2,0,0,1,0,1
17,Feroz Shah Kotla,5,2,0,23,1,0,4,1,5,0,3,1,0,4,0,1,5,0,4
18,Green Park,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,Himachal Pradesh Cricket Association Stadium,1,2,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
21,Holkar Cricket Stadium,0,0,0,0,0,0,4,1,1,0,2,0,0,0,0,0,1,0,0
22,JSCA International Stadium Complex,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
23,Kingsmead,1,2,0,3,0,0,2,0,2,0,0,0,0,2,0,0,3,0,0
24,M Chinnaswamy Stadium,4,1,0,3,1,0,5,0,6,0,8,0,0,3,1,0,29,0,2
25,"M Chinnaswamy Stadium, Bengaluru",1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,3,4,1
26,M.Chinnaswamy Stadium,1,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,8,0,0
27,MA Chidambaram Stadium,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
28,"MA Chidambaram Stadium, Chepauk",33,2,0,2,0,0,2,0,2,0,3,1,0,1,0,0,2,0,0
29,"MA Chidambaram Stadium, Chepauk, Chennai",10,0,2,0,0,0,0,0,3,1,3,0,3,1,0,0,3,0,2
30,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1
31,Maharashtra Cricket Association Stadium,5,0,0,2,1,0,0,0,3,0,2,0,0,1,5,0,2,0,1
32,"Maharashtra Cricket Association Stadium, Pune",1,0,0,0,0,3,0,0,2,2,0,0,1,2,0,0,2,0,0
33,"Narendra Modi Stadium, Ahmedabad",1,0,4,0,0,9,0,0,3,0,0,0,2,3,0,0,1,1,0
34,Nehru Stadium,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
35,New Wanderers Stadium,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
36,Newlands,0,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
37,OUTsurance Oval,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,Punjab Cricket Association IS Bindra Stadium,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1,0,0
39,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,0,0,2,0,4,0,1,0,1,0,0,0,0,0,1,0,2
40,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0
41,"Punjab Cricket Association Stadium, Mohali",3,0,0,1,0,0,18,0,2,0,3,1,0,3,0,0,2,0,2
42,Rajiv Gandhi International Stadium,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,10
43,"Rajiv Gandhi International Stadium, Uppal",2,3,0,4,0,0,4,0,4,0,5,1,0,2,1,1,2,0,20
44,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,6
45,"Sardar Patel Stadium, Motera",0,0,0,1,0,0,1,0,0,0,1,0,0,7,0,0,1,0,1
46,Saurashtra Cricket Association Stadium,0,0,0,1,3,0,2,0,1,0,1,0,0,0,0,0,1,0,1
47,Sawai Mansingh Stadium,3,0,1,1,0,0,1,0,3,0,2,0,0,32,0,0,3,0,1
48,"Sawai Mansingh Stadium, Jaipur",0,0,0,0,0,2,0,0,0,1,0,0,0,5,0,0,1,0,1
49,Shaheed Veer Narayan Singh International Stadium,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
50,Sharjah Cricket Stadium,3,0,4,1,0,0,4,0,5,0,3,0,1,2,0,0,3,0,2
51,Sheikh Zayed Stadium,3,0,2,0,0,0,2,0,6,0,6,0,0,6,0,0,2,0,2
52,St George's Park,2,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0
53,Subrata Roy Sahara Stadium,1,1,0,1,0,0,1,0,3,0,2,4,0,1,0,0,2,0,0
54,SuperSport Park,2,2,0,2,0,0,0,0,1,0,1,0,0,2,0,0,2,0,0
55,"Vidarbha Cricket Association Stadium, Jamtha",0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,Wankhede Stadium,7,1,1,2,1,0,5,1,1,0,42,1,0,4,2,1,3,0,1
57,"Wankhede Stadium, Mumbai",6,0,3,0,0,3,0,0,4,3,10,0,4,6,0,0,5,0,1
58,"Zayed Cricket Stadium, Abu Dhabi",1,0,1,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,1
